vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy
root,ALL,General,IP,,,,,,
root,ALL_TCP,General,,1-65535,,,,,
root,ALL_UDP,General,,,1-65535,,,,
root,ALL_ICMP,General,ICMP,,,,,,
root,ALL_ICMP6,General,ICMP6,,,,,,
root,GRE,Tunneling,IP,,,47,,,
root,AH,Tunneling,IP,,,51,,,
root,ESP,Tunneling,IP,,,50,,,
root,AOL,,,5190-5194,,,disable,,
root,BGP,Network Services,,179,,,,,
root,DHCP,Network Services,,,67-68,,,,
root,DNS,Network Services,,53,53,,,,
root,FINGER,,,79,,,disable,,
root,FTP,File Access,,21,,,,,
root,FTP_GET,File Access,,21,,,,,
root,FTP_PUT,File Access,,21,,,,,
root,GOPHER,,,70,,,disable,,
root,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
root,HTTP,Web Access,,80,,,,,
root,HTTPS,Web Access,,443,,,,,
root,IKE,Tunneling,,,500 4500,,,,
root,IMAP,Email,,143,,,,,
root,IMAPS,Email,,993,,,,,
root,Internet-Locator-Service,,,389,,,disable,,
root,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
root,L2TP,Tunneling,,1701,1701,,,,
root,LDAP,Authentication,,389,,,,,
root,NetMeeting,,,1720,,,disable,,
root,NFS,File Access,,111 2049,111 2049,,,,
root,NNTP,,,119,,,disable,,
root,NTP,Network Services,,123,123,,,,
root,OSPF,Network Services,IP,,,89,,,
root,PC-Anywhere,Remote Access,,5631,5632,,,,
root,PING,Network Services,ICMP,,,,,8,
root,TIMESTAMP,,ICMP,,,,disable,13,
root,INFO_REQUEST,,ICMP,,,,disable,15,
root,INFO_ADDRESS,,ICMP,,,,disable,17,
root,ONC-RPC,Remote Access,,111,111,,,,
root,DCE-RPC,Remote Access,,135,135,,,,
root,POP3,Email,,110,,,,,
root,POP3S,Email,,995,,,,,
root,PPTP,Tunneling,,1723,,,,,
root,QUAKE,,,,26000 27000 27910 27960,,disable,,
root,RAUDIO,,,,7070,,disable,,
root,REXEC,,,512,,,disable,,
root,RIP,Network Services,,,520,,,,
root,RLOGIN,,,513:512-1023,,,disable,,
root,RSH,,,514:512-1023,,,disable,,
root,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
root,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
root,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
root,SAMBA,File Access,,139,,,,,
root,SMTP,Email,,25,,,,,
root,SMTPS,Email,,465,,,,,
root,SNMP,Network Services,,161-162,161-162,,,,
root,SSH,Remote Access,,22,,,,,
root,SYSLOG,Network Services,,,514,,,,
root,TALK,,,,517-518,,disable,,
root,TELNET,Remote Access,,23,,,,,
root,TFTP,File Access,,,69,,,,
root,MGCP,,,,2427 2727,,disable,,
root,UUCP,,,540,,,disable,,
root,VDOLIVE,,,7000-7010,,,disable,,
root,WAIS,,,210,,,disable,,
root,WINFRAME,,,1494 2598,,,disable,,
root,X-WINDOWS,Remote Access,,6000-6063,,,,,
root,PING6,,ICMP6,,,,disable,128,
root,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
root,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
root,RDP,Remote Access,,3389,,,,,
root,VNC,Remote Access,,5900,,,,,
root,DHCP6,Network Services,,,546 547,,,,
root,SQUID,Tunneling,,3128,,,,,
root,SOCKS,Tunneling,,1080,1080,,,,
root,WINS,Remote Access,,1512,1512,,,,
root,RADIUS,Authentication,,,1812 1813,,,,
root,RADIUS-OLD,,,,1645 1646,,disable,,
root,CVSPSERVER,,,2401,2401,,disable,,
root,AFS3,File Access,,7000-7009,7000-7009,,,,
root,TRACEROUTE,Network Services,,,33434-33535,,,,
root,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
root,MMS,,,1755,1024-5000,,disable,,
root,KERBEROS,Authentication,,88 464,88 464,,,,
root,LDAP_UDP,Authentication,,,389,,,,
root,SMB,File Access,,445,,,,,
root,NONE,,,0,,,disable,,
root,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
CP03OTPC,ALL,General,IP,,,,,,
CP03OTPC,ALL_TCP,General,,1-65535,,,,,
CP03OTPC,ALL_UDP,General,,,1-65535,,,,
CP03OTPC,ALL_ICMP,General,ICMP,,,,,,
CP03OTPC,ALL_ICMP6,General,ICMP6,,,,,,
CP03OTPC,GRE,Tunneling,IP,,,47,,,
CP03OTPC,AH,Tunneling,IP,,,51,,,
CP03OTPC,ESP,Tunneling,IP,,,50,,,
CP03OTPC,AOL,,,5190-5194,,,disable,,
CP03OTPC,BGP,Network Services,,179,,,,,
CP03OTPC,DHCP,Network Services,,,67-68,,,,
CP03OTPC,DNS,Network Services,,53,53,,,,
CP03OTPC,FINGER,,,79,,,disable,,
CP03OTPC,FTP,File Access,,21,,,,,
CP03OTPC,FTP_GET,File Access,,21,,,,,
CP03OTPC,FTP_PUT,File Access,,21,,,,,
CP03OTPC,GOPHER,,,70,,,disable,,
CP03OTPC,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
CP03OTPC,HTTP,Web Access,,80,,,,,
CP03OTPC,HTTPS,Web Access,,443,,,,,
CP03OTPC,IKE,Tunneling,,,500 4500,,,,
CP03OTPC,IMAP,Email,,143,,,,,
CP03OTPC,IMAPS,Email,,993,,,,,
CP03OTPC,Internet-Locator-Service,,,389,,,disable,,
CP03OTPC,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
CP03OTPC,L2TP,Tunneling,,1701,1701,,,,
CP03OTPC,LDAP,Authentication,,389,,,,,
CP03OTPC,NetMeeting,,,1720,,,disable,,
CP03OTPC,NFS,File Access,,111 2049,111 2049,,,,
CP03OTPC,NNTP,,,119,,,disable,,
CP03OTPC,NTP,Network Services,,123,123,,,,
CP03OTPC,OSPF,Network Services,IP,,,89,,,
CP03OTPC,PC-Anywhere,Remote Access,,5631,5632,,,,
CP03OTPC,PING,Network Services,ICMP,,,,,8,
CP03OTPC,TIMESTAMP,,ICMP,,,,disable,13,
CP03OTPC,INFO_REQUEST,,ICMP,,,,disable,15,
CP03OTPC,INFO_ADDRESS,,ICMP,,,,disable,17,
CP03OTPC,ONC-RPC,Remote Access,,111,111,,,,
CP03OTPC,DCE-RPC,Remote Access,,135,135,,,,
CP03OTPC,POP3,Email,,110,,,,,
CP03OTPC,POP3S,Email,,995,,,,,
CP03OTPC,PPTP,Tunneling,,1723,,,,,
CP03OTPC,QUAKE,,,,26000 27000 27910 27960,,disable,,
CP03OTPC,RAUDIO,,,,7070,,disable,,
CP03OTPC,REXEC,,,512,,,disable,,
CP03OTPC,RIP,Network Services,,,520,,,,
CP03OTPC,RLOGIN,,,513:512-1023,,,disable,,
CP03OTPC,RSH,,,514:512-1023,,,disable,,
CP03OTPC,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
CP03OTPC,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
CP03OTPC,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
CP03OTPC,SAMBA,File Access,,139,,,,,
CP03OTPC,SMTP,Email,,25,,,,,
CP03OTPC,SMTPS,Email,,465,,,,,
CP03OTPC,SNMP,Network Services,,161-162,161-162,,,,
CP03OTPC,SSH,Remote Access,,22,,,,,
CP03OTPC,SYSLOG,Network Services,,,514,,,,
CP03OTPC,TALK,,,,517-518,,disable,,
CP03OTPC,TELNET,Remote Access,,23,,,,,
CP03OTPC,TFTP,File Access,,,69,,,,
CP03OTPC,MGCP,,,,2427 2727,,disable,,
CP03OTPC,UUCP,,,540,,,disable,,
CP03OTPC,VDOLIVE,,,7000-7010,,,disable,,
CP03OTPC,WAIS,,,210,,,disable,,
CP03OTPC,WINFRAME,,,1494 2598,,,disable,,
CP03OTPC,X-WINDOWS,Remote Access,,6000-6063,,,,,
CP03OTPC,PING6,,ICMP6,,,,disable,128,
CP03OTPC,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
CP03OTPC,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
CP03OTPC,RDP,Remote Access,,3389,,,,,
CP03OTPC,VNC,Remote Access,,5900,,,,,
CP03OTPC,DHCP6,Network Services,,,546 547,,,,
CP03OTPC,SQUID,Tunneling,,3128,,,,,
CP03OTPC,SOCKS,Tunneling,,1080,1080,,,,
CP03OTPC,WINS,Remote Access,,1512,1512,,,,
CP03OTPC,RADIUS,Authentication,,,1812 1813,,,,
CP03OTPC,RADIUS-OLD,,,,1645 1646,,disable,,
CP03OTPC,CVSPSERVER,,,2401,2401,,disable,,
CP03OTPC,AFS3,File Access,,7000-7009,7000-7009,,,,
CP03OTPC,TRACEROUTE,Network Services,,,33434-33535,,,,
CP03OTPC,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
CP03OTPC,MMS,,,1755,1024-5000,,disable,,
CP03OTPC,KERBEROS,Authentication,,88 464,88 464,,,,
CP03OTPC,LDAP_UDP,Authentication,,,389,,,,
CP03OTPC,SMB,File Access,,445,,,,,
CP03OTPC,NONE,,,0,,,disable,,
CP03OTPC,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
CP03OTPC,TCP/22,HKEX_USE,,22,,,,,
CP03OTPC,TCP/80,,,80,,,,,
CP03OTPC,"TCP/80,443",HKEX_USE,,80 443,,,,,
CP03OTPC,PORT_NTP,,,,123,,,,
CP03OTPC,PORT_Networker,,,111 514 2049 2051-2052 7937-9936,111 514 2049 2051-2052 7937-9936,,,,
CP03OTPC,PORT_BMC,,,2059 1828-1838 3181-3183 12124 9840-9842 1533,,,,,
CP03OTPC,TCP/4750,,,4750,,,,,
CP03OTPC,PORT_OneView,,,443,161-162 2162,,,,
CP03OTPC,PORT_WarRmAccess,,,22 23 80 443 3389 17988 9300 17990 3002,,,,,
CP03OTPC,UDP/161-162,HKEX_USE,,,161-162,,,,
CP03OTPC,PORT_AD_1,,,53 389 636 135 1024-65535 445 139 88 464,,,,,
CP03OTPC,PORT_AD_2,,,,53 123 389 636 500 1024-65535 137-138 88 464,,,,
CP03OTPC,PORT_TrendMicro,,,80 137 139 443 445 8080 11267,,,,,
CP03OTPC,PORT_SCCM,,,80 443 10123 2701 389 636 3268-3269 445 135 139,636 135 137 138,,,,
CP03OTPC,PORT_PatchMan,,,137-139 445 5120 443 3121,,,,,
CP03OTPC,Port_HP_iLo,,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
CP03OTPC,TCP/3389,,,3389,,,,,
CP03OTPC,TCP/5723,HKEX_USE,,5723,,,,,
CP03OTPC,TCP/8080,HKEX_USE,,8080,,,,,
CP03OTPC,TCP/11267,HKEX_USE,,11267,,,,,
CP03OTPC,TCP/1688,HKEX_USE,,1688,,,,,
CP03OTPC,TCP/38000-39000,HKEX_USE,,38000-39000,,,,,
CP03OTPC,TCP/1888-1889,HKEX_USE,,1888-1889,,,,,
CP03OTPC,TCP/30088,HKEX_USE,,30088,,,,,
CP03OTPC,TCP/514-515,HKEX_USE,,514-515,,,,,
CP03OTPC,UDP/514-515,HKEX_USE,,,514-515,,,,
CP03OTPC,PORT_ORSYP_Agents,HKEX_USE,,10600-10601 10605-10606 10611-10612 10615 10620-10621 4184,,,,,
CP03OTPC,TCP/139,HKEX_USE,,139,,,,,
CP03OTPC,TCP/445,HKEX_USE,,445,,,,,
CP03OTPC,TCP/5985-5986,HKEX_USE,,5985-5986,,,,,
CP03OTPC,TCP/38777,HKEX_USE,,38777,,,,,
CP03OTPC,PORT_Startus_VTM,HKEX_USE,,22 80 443 5120 5122,,,,,
CP03OTPC,PORT_CNMC_Networker,HKEX_USE,,111 514 2049 4001 2051-2052 7937-9936,111 514 2049 4001 2051-2052 7937-9936,,,,
CP03OTPC,PORT_NEW_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842,,,,,
CP03OTPC,Port_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842 1533,,,,,
CP03OTPC,UDP/162,,,,162,,,,
CP03OTPC,PORT_from_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183 3381 3481 3581 3681 3781 3881 3891,,,,,
CP03OTPC,PORT_to_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183,,,,,
CP03OTPC,PORT_AD_TCP,HKEX_USE,,53 3268-3269 389 636 135 1024-65535 445 88 464 137-139,,,,,
CP03OTPC,PORT_AD_UDP,HKEX_USE,,,53 123 389 636 500 4500 1024-65535 137-138 88 464,,,,
CP03OTPC,TCP/137,HKEX_USE,,137,,,,,
CP03OTPC,TCP/443,HKEX_USE,,443,,,,,
CP03OTPC,PORT_STRATUS_VTM,HKEX_USE,,80 443 10123 2701 389 636 3268-3269 445 135 139,636 135 137-138,,,,
CP03OTPC,PORT_PATCH_MGT,HKEX_USE,,137-139 445 5120 443 3121,,,,,
CP03OTPC,PORT_HP_ILP,HKEX_USE,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
CP03CASH2,ALL,General,IP,,,,,,
CP03CASH2,ALL_TCP,General,,1-65535,,,,,
CP03CASH2,ALL_UDP,General,,,1-65535,,,,
CP03CASH2,ALL_ICMP,General,ICMP,,,,,,
CP03CASH2,ALL_ICMP6,General,ICMP6,,,,,,
CP03CASH2,GRE,Tunneling,IP,,,47,,,
CP03CASH2,AH,Tunneling,IP,,,51,,,
CP03CASH2,ESP,Tunneling,IP,,,50,,,
CP03CASH2,AOL,,,5190-5194,,,disable,,
CP03CASH2,BGP,Network Services,,179,,,,,
