vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy
CP03CASH2,DHCP,Network Services,,,67-68,,,,
CP03CASH2,DNS,Network Services,,53,53,,,,
CP03CASH2,FINGER,,,79,,,disable,,
CP03CASH2,FTP,File Access,,21,,,,,
CP03CASH2,FTP_GET,File Access,,21,,,,,
CP03CASH2,FTP_PUT,File Access,,21,,,,,
CP03CASH2,GOPHER,,,70,,,disable,,
CP03CASH2,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
CP03CASH2,HTTP,Web Access,,80,,,,,
CP03CASH2,HTTPS,Web Access,,443,,,,,
CP03CASH2,IKE,Tunneling,,,500 4500,,,,
CP03CASH2,IMAP,Email,,143,,,,,
CP03CASH2,IMAPS,Email,,993,,,,,
CP03CASH2,Internet-Locator-Service,,,389,,,disable,,
CP03CASH2,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
CP03CASH2,L2TP,Tunneling,,1701,1701,,,,
CP03CASH2,LDAP,Authentication,,389,,,,,
CP03CASH2,NetMeeting,,,1720,,,disable,,
CP03CASH2,NFS,File Access,,111 2049,111 2049,,,,
CP03CASH2,NNTP,,,119,,,disable,,
CP03CASH2,NTP,Network Services,,123,123,,,,
CP03CASH2,OSPF,Network Services,IP,,,89,,,
CP03CASH2,PC-Anywhere,Remote Access,,5631,5632,,,,
CP03CASH2,PING,Network Services,ICMP,,,,,8,
CP03CASH2,TIMESTAMP,,ICMP,,,,disable,13,
CP03CASH2,INFO_REQUEST,,ICMP,,,,disable,15,
CP03CASH2,INFO_ADDRESS,,ICMP,,,,disable,17,
CP03CASH2,ONC-RPC,Remote Access,,111,111,,,,
CP03CASH2,DCE-RPC,Remote Access,,135,135,,,,
CP03CASH2,POP3,Email,,110,,,,,
CP03CASH2,POP3S,Email,,995,,,,,
CP03CASH2,PPTP,Tunneling,,1723,,,,,
CP03CASH2,QUAKE,,,,26000 27000 27910 27960,,disable,,
CP03CASH2,RAUDIO,,,,7070,,disable,,
CP03CASH2,REXEC,,,512,,,disable,,
CP03CASH2,RIP,Network Services,,,520,,,,
CP03CASH2,RLOGIN,,,513:512-1023,,,disable,,
CP03CASH2,RSH,,,514:512-1023,,,disable,,
CP03CASH2,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
CP03CASH2,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
CP03CASH2,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
CP03CASH2,SAMBA,File Access,,139,,,,,
CP03CASH2,SMTP,Email,,25,,,,,
CP03CASH2,SMTPS,Email,,465,,,,,
CP03CASH2,SNMP,Network Services,,161-162,161-162,,,,
CP03CASH2,SSH,Remote Access,,22,,,,,
CP03CASH2,SYSLOG,Network Services,,,514,,,,
CP03CASH2,TALK,,,,517-518,,disable,,
CP03CASH2,TELNET,Remote Access,,23,,,,,
CP03CASH2,TFTP,File Access,,,69,,,,
CP03CASH2,MGCP,,,,2427 2727,,disable,,
CP03CASH2,UUCP,,,540,,,disable,,
CP03CASH2,VDOLIVE,,,7000-7010,,,disable,,
CP03CASH2,WAIS,,,210,,,disable,,
CP03CASH2,WINFRAME,,,1494 2598,,,disable,,
CP03CASH2,X-WINDOWS,Remote Access,,6000-6063,,,,,
CP03CASH2,PING6,,ICMP6,,,,disable,128,
CP03CASH2,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
CP03CASH2,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
CP03CASH2,RDP,Remote Access,,3389,,,,,
CP03CASH2,VNC,Remote Access,,5900,,,,,
CP03CASH2,DHCP6,Network Services,,,546 547,,,,
CP03CASH2,SQUID,Tunneling,,3128,,,,,
CP03CASH2,SOCKS,Tunneling,,1080,1080,,,,
CP03CASH2,WINS,Remote Access,,1512,1512,,,,
CP03CASH2,RADIUS,Authentication,,,1812 1813,,,,
CP03CASH2,RADIUS-OLD,,,,1645 1646,,disable,,
CP03CASH2,CVSPSERVER,,,2401,2401,,disable,,
CP03CASH2,AFS3,File Access,,7000-7009,7000-7009,,,,
CP03CASH2,TRACEROUTE,Network Services,,,33434-33535,,,,
CP03CASH2,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
CP03CASH2,MMS,,,1755,1024-5000,,disable,,
CP03CASH2,KERBEROS,Authentication,,88 464,88 464,,,,
CP03CASH2,LDAP_UDP,Authentication,,,389,,,,
CP03CASH2,SMB,File Access,,445,,,,,
CP03CASH2,NONE,,,0,,,disable,,
CP03CASH2,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
CP03CASH2,PORT_NTP,HKEX_USE,,,123,,,,
CP03CASH2,PORT_NMC_VC,HKEX_USE,,21 22 80 443 17988 623 17990 40000-41000 2381,,,,,
CP03CASH2,PORT_SNMP,HKEX_USE,,161-162,161-162,,,,
CP03CASH2,PORT_BMC,HKEX_USE,,2059 1828-1838 12124 4750 1533 9840-9842 3181-3183,,,,,
CP03CASH2,PORT_Networker,HKEX_USE,,111 514 1039 1047-1048 2049 2051-2052 7937-9936 1039 1047-1048 2049 2051-2052 1937-9936,111,,,,
CP03CASH2,PORT_ORSYP_Server,HKEX_USE,,10700 10704 10705 10717 10720 10724 10715 10711,,,,,
CP03CASH2,PORT_ORSYP_Agents,HKEX_USE,,10600-10601 10605-10606 10611-10612 10615 10620-10621 4184,,,,,
CP03CASH2,PORT_ORSYP_Timeout,HKEX_USE,,10600-10601 10605-10606 10611-10612 10615,,,,,
CP03CASH2,PORT_PIM,HKEX_USE,,22 139 445 3389,,,,,
CP03CASH2,PORT_TOF_VC,HKEX_USE,,21 22 80 443 3010 3389 12024-12027 17988 17990,,,,,
CP03CASH2,PORT_OMD_CTLFE_VC,HKEX_USE,,22 23 80 443 3389 17988 9300 17990 3302 445,,,,,
CP03CASH2,PORT_OneView,HKEX_USE,,443,161-162 2162,,,,
CP03CASH2,TCP/80,,,80,,,,,
CP03CASH2,TCP/22,,,22,,,,,
CP03CASH2,TCP/20000,,,20000,,,,,
CP03CASH2,TCP/2381,,,2381,,,,,
CP03CASH2,UDP/20000,,,,20000,,,,
CP03CASH2,TCP/17520-17522,HKEX_USE,,17520-17522,,,,,
CP03CASH2,TCP/3389,HKEX_USE,,3389,,,,,
CP03CASH2,UDP/161-162,,,,161-162,,,,
CP03CASH2,TCP/4750,,,4750,,,,,
CP03CASH2,TCP/445,,,445,,,,,
CP03CASH2,TCP/137-139,,,137-139,,,,,
CP03CASH2,TCP/2967,,,2967,,,,,
CP03CASH2,TCP/5723,,,5723,,,,,
CP03CASH2,TCP/443,,,443,,,,,
CP03CASH2,TCP/3121-3122,,,3121-3122,,,,,
CP03CASH2,TCP/5120,,,5120,,,,,
CP03CASH2,TCP/25,,,25,,,,,
CP03CASH2,UDP/514-515,,,,514-515,,,,
CP03CASH2,TCP/5985-5986,,,5985-5986,,,,,
CP03CASH2,TCP/4184,,,4184,,,,,
CP03CASH2,PORT_WarRmAccess,,,22 23 80 443 3389 17988 9300 17990 3002,,,,,
CP03CASH2,TCP/8080,,,8080,,,,,
CP03CASH2,TCP/8443,,,8443,,,,,
CP03CASH2,UDP/137-138,,,,137-138,,,,
CP03CASH2,TCP/139,HKEX_USE,,139,,,,,
CP03CASH2,TCP/8014,,,8014,,,,,
CP03CASH2,PORT_FTPS,HKEX_USE,,20-21,,,,,
CP03CASH2,PORT_SAT_WEB_MGT,,,22-23 80 161 443 1311 2301 2381 3002 3257 3389 5988-5989 8008 9300 17988-17990,514 161,,,,
CP03CASH2,TCP/20,,,20,,,,,
CP03CASH2,TCP/21,,,21,,,,,
CP03CASH2,TCP/383,,,383,,,,,
CP03CASH2,TCP/1556,,,1556,,,,,
CP03CASH2,TCP/13724,,,13724,,,,,
CP03CASH2,TCP/9383,,,9383,,,,,
CP03CASH2,TCP/50000-50005,,,50000-50005,,,,,
CP03CASH2,TCP/51000-51005,HKEX_USE,,51000-51005,,,,,
CP03CASH2,TCP/1888-1889,,,1888-1889,,,,,
CP03CASH2,TCP/32000-33999,,,32000-33999,,,,,
CP03CASH2,TCP/162,,,162,,,,,
CP03CASH2,TCP/50004,,,50004,,,,,
CP03CASH2,UDP/22,,,,22,,,,
CP03CASH2,UDP/514,,,,514,,,,
CP03CASH2,UDP/50004,,,,50004,,,,
CP03CASH2,PORT_REUTERS,,,8101 14002,,,,,
CP03CASH2,TCP/55755,,,55755,,,,,
CP03CASH2,TCP/5500-5700,,,5500-5700,,,,,
CP03CASH2,TCP/8101,,,8101,,,,,
CP03CASH2,TCP/14002,,,14002,,,,,
CP03CASH2,TCP/22230,,,22230,,,,,
CP03CASH2,TCP/27230,,,27230,,,,,
CP03CASH2,TCP/30106,,,30106,,,,,
CP03CASH2,TCP/30206,,,30206,,,,,
CP03CASH2,TCP/31106,,,31106,,,,,
CP03CASH2,TCP/31206,,,31206,,,,,
CP03CASH2,TCP/31906,,,31906,,,,,
CP03CASH2,TCP/27171,,,27171,,,,,
CP03CASH2,TCP/30906,,,30906,,,,,
CP03CASH2,TCP/389,,,389,,,,,
CP03CASH2,ICMP/13,HKEX_USE,ICMP,,,,,13,
CP03CASH2,ICMP/14,HKEX_USE,ICMP,,,,,14,
CP03CASH2,ICMP/PING,HKEX_USE,ICMP,,,,,8,
CP03CASH2,TCP/55455,HKEX_USE,,55455,,,,,
CP03CASH2,TCP/55855,HKEX_USE,,55855,,,,,
CP03CASH2,TCP/50001-50100,HKEX_USE,,50001-50100,,,,,
CP03CASH2,TCP/1888,HKEX_USE,,1888,,,,,
CP03CASH2,TCP/30088,HKEX_USE,,30088,,,,,
CP03CASH2,TCP/38000-39000,HKEX_USE,,38000-39000,,,,,
CP03CASH2,PORT_FTP_DATA,HKEX_USE,,1024-65535,,,,,
CP03CASH2,TCP/45000-46000,HKEX_USE,,45000-46000,,,,,
CP03CASH2,TCP/50000-50300,HKEX_USE,,50000-50300,,,,,
CP03CASH2,TCP/40000-41000,HKEX_USE,,40000-41000,,,,,
CP03CASH2,TCP/50000-50001,HKEX_USE,,50000-50001,,,,,
CP03CASH2,TCP/51000-51001,HKEX_USE,,51000-51001,,,,,
CP03CASH2,TCP/50004-50005,HKEX_USE,,50004-50005,,,,,
CP03CASH2,TCP/51004-51005,HKEX_USE,,51004-51005,,,,,
CP03CASH2,PORT_ORSYP_Agents_TOF,HKEX_USE,,10700-10701 10705-10706 10711-10712 10715 10720-10721 4184,,,,,
CP03CASH2,TCP/69,HKEX_USE,,69,,,,,
CP03CASH2,TCP/4,HKEX_USE,,4,,,,,
CP03CASH2,UDP/61,HKEX_USE,,,61,,,,
CP03CASH2,UDP/161,General,,,161,,,,
CP03CASH2,TCP/2051-2052,HKEX_USE,,2051-2052,,,,,
CP03CASH2,TCP/1024-65535,HKEX_USE,,1024-65535,,,,,
CP03CASH2,UDP/162,HKEX_USE,,,162,,,,
CP03CASH2,TCP/55388-55393,HKEX_USE,,55388-55393,,,,,
CP03CASH2,TCP/55380-55384,HKEX_USE,,55380-55384,,,,,
CP03CASH2,TCP/56388,HKEX_USE,,56388,,,,,
CP03CASH2,TCP/56392,HKEX_USE,,56392,,,,,
CP03CASH2,TCP/56393,HKEX_USE,,56393,,,,,
CP03CASH2,TCP/31137,HKEX_USE,,31137,,,,,
CP03CASH2,TCP/31237,HKEX_USE,,31237,,,,,
CP03CASH2,TCP/31937,HKEX_USE,,31937,,,,,
CP03CASH2,TCP/30001-30010,HKEX_USE,,30001-30010,,,,,
CP03CASH2,TCP/29108-29112,HKEX_USE,,29108-29112,,,,,
CP03CASH2,UDP/29108-29112,,,,29108-29112,,,,
CP03CASH2,TCP/3268-3269,HKEX_USE,,3268-3269,,,,,
CP03CASH2,TCP/5722,HKEX_USE,,5722,,,,,
CP03CASH2,TCP&UDP/42,HKEX_USE,,42,42,,,,
CP03CASH2,TCP&UDP/464,HKEX_USE,,464,464,,,,
CP03CASH2,UDP/1024-65535,,,,1024-65535,,,,
CP03CASH2,LDAPS,HKEX_USE,,636,636,,,,
CP03CASH2,PORT_IPM,HKEX_USE,,80 443 2967 8443-8447 9090,,,,,
CP03CASH2,PORT_OMD_CTL,HKEX_USE,,55380-55385 55388-55393 55398-55400 56388 56392-56393,,,,,
CP03CASH2,PORT_CNMC_Networker,HKEX_USE,,111 514 2049 4001 2051-2052 7937-9936,111 514 2049 4001 2051-2052 7937-9936,,,,
CP03CASH2,PORT_CNMC_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842,,,,,
CP03CASH2,Port_BMC,,,2059 1828-1838 12124 4750 1533 9840-9842 3181-3183,,,,,
CP03CASH2,UDP/123,HKEX_USE,,,123,,,,
CP03CASH2,PORT_ESXI_MGT,HKEX_USE,,22 427 443 902 5988 5989,427 902 6999 12345 23451,,,,
CP03CASH2,PORT_ESXI_INFO,HKEX_USE,,443 5989 8000 8001,902 6500,,,,
CP03CASH2,PORT_AD,HKEX_USE,,88 123 235 137 139 389 445 464 3268,,,,,
CP03CASH2,PORT_HP_ILP,HKEX_USE,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
CP03CASH2,TCP/902,HKEX_USE,,902,,,,,
CP03CASH2,UDP/427,HKEX_USE,,,427,,,,
CP03CASH2,TCP/1433,HKEX_USE,,1433,,,,,
CP03CASH2,TCP/444,HKEX_USE,,444,,,,,
CP03CASH2,TCP/10022,HKEX_USE,,10022,,,,,
CP03CASH2,TCP/1434,HKEX_USE,,1434,,,,,
CP03CASH2,PORT_to_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183,,,,,
CP03CASH2,PORT_from_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183 3381 3481 3581 3681 3781 3881 3891,,,,,
CP03CASH2,TCP/50006-50007,HKEX_USE,,50006-50007,,,,,
CP03CASH2,TCP/51006-51007,HKEX_USE,,51006-51007,,,,,
CP03CASH2,PORT_AD_TCP,HKEX_USE,,53 3268-3269 389 636 135 1024-65535 445 88 464 137-139,,,,,
CP03CASH2,PORT_AD_UDP,HKEX_USE,,,53 123 389 636 500 4500 1024-65535 137-138 88 464,,,,
CP03CASH2,TCP/11267,HKEX_USE,,11267,,,,,
CP03CASH2,TCP/137,HKEX_USE,,137,,,,,
CP03CASH2,TCP/1688,HKEX_USE,,1688,,,,,
CP03CASH2,PORT_STRATUS_VTM,HKEX_USE,,80 443 10123 2701 389 636 3268-3269 445 135 139,636 135 137-138,,,,
CP03CASH2,PORT_PATCH_MGT,HKEX_USE,,137-139 445 5120 443 3121,,,,,
