name,vdom,type,description,alias,snmp-index,mtu-override,mtu,status,ip,allowaccess,dedicated-to,trust-ip-1,trust-ip-2,mode,role,interface,vlanid,device-identification
port1,root,physical,Connect to,VC1 To DTHBL p3  mc,1,enable,9000,,,,,,,,,,,
port2,root,physical,Connect to,VC2 To DTHBL p4  mc,2,enable,9000,,,,,,,,,,,
port3,root,physical,Connect to,VC1 To DTNMC p8  mc,3,enable,9000,,,,,,,,,,,
port4,root,physical,Connect to,VC2 To DTNMC p10  mc,4,enable,9000,,,,,,,,,,,
port5,root,physical,,,5,,,down,,,,,,,,,,
port6,root,physical,,,6,,,down,,,,,,,,,,
port7,root,physical,,,7,,,down,,,,,,,,,,
port8,root,physical,,,8,,,down,,,,,,,,,,
port9,root,physical,,,9,,,down,,,,,,,,,,
port10,root,physical,,,10,,,down,,,,,,,,,,
port11,root,physical,,,11,,,down,,,,,,,,,,
port12,root,physical,,,12,,,down,,,,,,,,,,
port13,root,physical,,,13,,,down,,,,,,,,,,
port14,root,physical,,,14,,,down,,,,,,,,,,
port15,root,physical,,,15,,,down,,,,,,,,,,
port16,root,physical,,,16,,,down,,,,,,,,,,
port17,root,physical,,HA1,17,,,,,,,,,,,,,
port18,root,physical,,,18,,,down,,,,,,,,,,
port19,root,physical,,SESSION_SYNC1,19,,,,,,,,,,,,,
port20,root,physical,,,20,,,down,,,,,,,,,,
port21,root,physical,,,21,,,down,,,,,,,,,,
port22,root,physical,,,22,,,down,,,,,,,,,,
port23,root,physical,,,23,,,down,,,,,,,,,,
port24,root,physical,,,24,,,down,,,,,,,,,,
port25,root,physical,,,25,,,down,,,,,,,,,,
port26,root,physical,,OOBMGT-VIP,26,,,,10.8.161.163 255.255.255.0,ping https ssh snmp fgfm,,,,,,,,
port27,root,physical,,,27,,,down,,,,,,,,,,
port28,root,physical,,SESSION_SYNC2,28,,,,,,,,,,,,,
port29,root,physical,,,29,,,down,,,,,,,,,,
port30,root,physical,,,30,,,down,,,,,,,,,,
port31,root,physical,,,31,,,down,,,,,,,,,,
port32,root,physical,,,32,,,down,,,,,,,,,,
port33,root,physical,Connect to,VC1 To DTHBL p1 internal,33,enable,9000,,,,,,,,,,,
port34,root,physical,Connect to,VC2 To DTHBL p2 internal,34,enable,9000,,,,,,,,,,,
port35,root,physical,,,35,,,down,,,,,,,,,,
port36,root,physical,,,36,,,down,,,,,,,,,,
port37,root,physical,Connect to,VC1 To DTNDS p8,37,enable,9000,,,,,,,,,,,
port38,root,physical,Connect to,VC2 To DTNDS p9,38,enable,9000,,,,,,,,,,,
port39,root,physical,,,39,,,down,,,,,,,,,,
port40,root,physical,Connect to,HSN,40,enable,9000,,,,,,,,,,,
mgmt1,root,physical,,OOBMGT,41,,,,10.8.161.151 255.255.255.0,ping https ssh snmp fgfm,management,10.8.0.0 255.255.0.0,10.245.126.51 255.255.255.255,,,,,
mgmt2,root,physical,,HA2,42,,,,,,,,,,,,,
modem,root,physical,,,43,,,,,,,,,pppoe,,,,
ssl.root,root,tunnel,,SSL VPN interface,46,,,,,,,,,,,,,
ssl.DTH1COMM,DTH1COMM,tunnel,,SSL VPN interface,52,,,,,,,,,,,,,
ssl.DTH1DEV,DTH1DEV,tunnel,,SSL VPN interface,44,,,,,,,,,,,,,
ssl.DTH1HSN,DTH1HSN,tunnel,,SSL VPN interface,45,,,,,,,,,,,,,
ssl.DTH1HKATS1,DTH1HKATS1,tunnel,,SSL VPN interface,51,,,,,,,,,,,,,
ssl.DTH1MC1,DTH1MC1,tunnel,,SSL VPN interface,53,,,,,,,,,,,,,
ssl.DTH1TBP,DTH1TBP,tunnel,,SSL VPN interface,55,,,,,,,,,,,,,
ssl.DTH1MC2,DTH1MC2,tunnel,,SSL VPN interface,54,,,,,,,,,,,,,
ssl.DTH1HKATS2,DTH1HKATS2,tunnel,,SSL VPN interface,82,,,,,,,,,,,,,
npu0_vlink0,root,physical,,,47,,,down,,,,,,,,,,
npu0_vlink1,root,physical,,,48,,,down,,,,,,,,,,
npu1_vlink0,root,physical,,,49,,,down,,,,,,,,,,
npu1_vlink1,root,physical,,,50,,,down,,,,,,,,,,
H.HSN.100,DTH1HSN,,,,78,,,,10.10.10.1 255.255.255.248,ping,,,,,lan,port40,100,
I.HKATS.3101,DTH1HSN,,,,56,,,,10.151.90.1 255.255.255.248,ping,,,,,lan,port33,3101,
I.PTRMW.3102,DTH1HSN,,,,57,,,,10.151.90.9 255.255.255.248,ping,,,,,lan,port33,3102,
I.HKATS.3103,DTH1HKATS1,,,,58,,,,10.151.90.17 255.255.255.248,ping,,,,,lan,port33,3103,
I.PTRMW.3105,DTH1HKATS1,,,,60,,,,10.151.90.33 255.255.255.248,ping,,,,,lan,port33,3105,
I.DEV.2901,DTH1DEV,,,,61,,,,10.164.205.1 255.255.255.248,ping,,,,,lan,port33,2901,
I.HKATS.2902,DTH1DEV,,,,62,,,,10.164.205.9 255.255.255.248,ping,,,,,lan,port33,2902,
I.PTRMW.2904,DTH1DEV,,,,64,,,,10.164.205.25 255.255.255.248,ping,,,,,lan,port33,2904,
I.PTRMWO.1754,DTH1HKATS1,,,,65,,,,10.152.14.241 255.255.255.0,ping,,,,,lan,port33,1754,
I.HTBP.2905,DTH1TBP,,,,68,,,,10.164.205.33 255.255.255.248,ping,,,,,lan,port33,2905,
I.PWTBP.2907,DTH1TBP,,,,70,,,,10.164.205.49 255.255.255.248,ping,,,,,lan,port33,2907,
I.PTRMWO.1764,DTH1TBP,,,,71,,,,10.152.14.241 255.255.255.0,ping,,,,,lan,port33,1764,
I.SMARTTBP.2908,DTH1TBP,,,,72,,,,10.164.205.57 255.255.255.248,ping,,,,,lan,port33,2908,
I.SMARTS.2909,DTH1DEV,,,,79,,,,10.164.205.65 255.255.255.248,ping,,,,,lan,port33,2909,
I.SMARTS.3106,DTH1HKATS1,,,,80,,,,10.151.90.41 255.255.255.248,ping,,,,,lan,port33,3106,
D.CCI.3803,DTH1HKATS1,,,,73,,,,10.164.201.145 255.255.255.248,ping,,,,,lan,port37,3803,
D.SDN2.3804,DTH1HKATS1,,,,74,,,,10.164.201.153 255.255.255.248,ping,,,,,lan,port37,3804,
D.OTPC.3805,DTH1HKATS1,,,,75,,,,10.164.201.161 255.255.255.248,ping,,,,,lan,port37,3805,
M.OMC.1401,DTH1MC1,,,,66,,,,10.80.1.1 255.255.255.0,ping,,,,,lan,port1,1401,
M.OMC.3801,DTH1MC1,,,,67,,,,10.164.201.129 255.255.255.248,ping,,,,,lan,port3,3801,
M.OMC.1402,DTH1MC2,,,,76,,,,10.80.2.1 255.255.255.0,ping,,,,,lan,port2,1402,
M.OMC.3802,DTH1MC2,,,,77,,,,10.164.201.137 255.255.255.248,ping,,,,,lan,port4,3802,
D.CCI.2927,DTH1DEV,,,,86,,,,10.164.205.209 255.255.255.248,ping,,,,,lan,port37,2927,
D.SDN2.2928,DTH1DEV,,,,87,,,,10.164.205.217 255.255.255.248,ping,,,,,lan,port37,2928,
D.OTPC.2929,DTH1DEV,,,,88,,,,10.164.205.225 255.255.255.248,ping,,,,,lan,port37,2929,
D.CCI.2930,DTH1TBP,,,,89,,,,10.164.205.233 255.255.255.248,ping,,,,,lan,port37,2930,
D.SDN2.2931,DTH1TBP,,,,90,,,,10.164.205.241 255.255.255.248,ping,,,,,lan,port37,2931,
D.OTPC.2932,DTH1TBP,,,,91,,,,10.164.205.249 255.255.255.248,ping,,,,,lan,port37,2932,
I.HKATS.3107,DTH1COMM,,,,92,,,,10.151.90.49 255.255.255.248,ping,,,,,lan,port33,3107,
I.PTRMW.3109,DTH1COMM,,,,94,,,,10.151.90.65 255.255.255.248,ping,,,,,lan,port33,3109,
I.SMARTS.3110,DTH1COMM,,,,95,,,,10.151.90.73 255.255.255.248,ping,,,,,lan,port33,3110,
I.XHKATS.3111,DTH1HKATS1,,,,96,,,,10.151.90.81 255.255.255.248,ping,,,,,lan,port33,3111,
I.XHTBP.3112,DTH1TBP,,,,83,,,,10.151.90.89 255.255.255.248,ping,,,,,lan,port33,3112,
I.COMM.3001,DTH1COMM,,,,81,,,,10.164.201.1 255.255.255.224,ping,,,,,lan,port33,3001,
I.XDEV.3113,DTH1DEV,,,,97,,,,10.151.90.97 255.255.255.248,ping,,,,,,port33,3113,
I.HTBP.2910,DTH1COMM,,,,59,,,,10.164.205.73 255.255.255.248,ping,,,,,lan,port33,2910,enable
I.PWTBP.2911,DTH1COMM,,,,63,,,,10.164.205.81 255.255.255.248,ping,,,,,lan,port33,2911,enable
I.SMARTTBP.2912,DTH1COMM,,,,69,,,,10.164.205.89 255.255.255.248,ping,,,,,lan,port33,2912,enable
I.DEV.2906,DTH1COMM,,,,84,,,,10.164.205.41 255.255.255.248,ping,,,,,lan,port33,2906,enable
