vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,action,schedule,service,utm-status,logtraffic,fsso,ips-sensor,ssl-ssh-profile,comments,nat,logtraffic-start,capture-packet,auto-asic-offload,status
DTH1COMM,1,comm to smart 20200715_01,312463aa-c6b2-51ea-366a-fefa85a5005d,I.COMM,I.SMART,host_10.163.143.210 host_10.63.142.209,net_10.1.153.0/24,accept,always,TCP/139 TCP/22 TCP/3389 TCP/445,enable,all,disable,sdn3-all,certificate-inspection,,,,,,
DTH1COMM,2,comm to hkats 20200715_02,eb2ae4d6-c6b2-51ea-60e8-cbf57b3d1f37,I.COMM,I.HKATS,host_10.163.143.210 host_10.63.142.209,net_10.151.34.0/24 net_10.151.52.0/24 net_10.151.54.0/24 net_10.151.58.0/24 net_10.161.2.0/24 net_10.161.4.0/24 net_10.170.34.0/24 net_10.170.54.0/24,accept,always,TCP/139 TCP/22 TCP/3389 TCP/445,enable,all,disable,sdn3-all,certificate-inspection,,,,,,
DTH1COMM,3,comm to hkats 20200717_01,460901ee-c816-51ea-b017-c68ac78d35c1,I.COMM,I.HKATS,host_10.164.1.40,net_10.170.54.0/24 net_10.170.64.0/24,accept,always,PING TCP/22,enable,all,disable,sdn3-all,certificate-inspection,,,,,,
DTH1COMM,4,LIN_Genium_5011,cae806de-ca83-51ea-54d4-0bf36783b0ed,I.PWTBP,I.COMM,net_10.151.58.0/24,net_10.164.1.0/24 net_10.164.129.0/24,accept,always,UDP/123,enable,all,disable,g-default,certificate-inspection,,,,,,
DTH1COMM,5,LIN_Genium_5016,2edca744-ca84-51ea-4645-800437ff117b,I.PWTBP,I.COMM,net_10.151.58.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,PORT_HP_ILO,enable,all,disable,g-default,certificate-inspection,,,,,,
DTH1COMM,6,WIN_HKATS_5006,5c708022-ca84-51ea-0f73-292c89a6d423,I.SMARTTBP,I.COMM,net_10.1.153.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,disable,g-default,certificate-inspection,,,,,,
DTH1COMM,7,LIN_Genium_5004,821dfb5e-cad6-51ea-a5e3-263f1e3b4646,I.COMM,I.HTBP,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.151.34.0/24 net_10.151.52.0/24 net_10.151.54.0/24 net_10.170.54.0/24,accept,always,PORT_HP_ILO,enable,all,disable,g-default,certificate-inspection,,,,,,
DTH1COMM,8,LIN_Genium_5013,ab369848-cad6-51ea-d791-7c457795f9cc,I.COMM,I.PWTBP,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.151.58.0/24,accept,always,PORT_HP_ILO,enable,all,disable,g-default,certificate-inspection,Clone of LIN_Genium_5004,,,,,
DTH1COMM,9,DSDS_HKATS_0023,318823e4-cad7-51ea-7e29-6c342d1e268b,I.COMM,I.HTBP,net_10.163.143.0/24 net_10.164.1.0/24 net_10.164.129.0/24 net_10.63.142.0/24,net_10.151.34.0/24 net_10.151.54.0/24,accept,always,TCP/22,enable,all,disable,g-default,certificate-inspection,,,,,,
DTH1COMM,10,DSDS_HKATS_0025,570bfb1c-cad8-51ea-3fd1-2116752fb2c5,I.COMM,I.PWTBP,net_10.163.143.0/24 net_10.164.1.0/24 net_10.164.129.0/24 net_10.63.142.0/24,net_10.151.58.0/24,accept,always,TCP/22,enable,all,disable,g-default,certificate-inspection,Clone of DSDS_HKATS_0023,,,,,
DTH1COMM,11,DSDS_HKATS_0060,f68226f8-cad8-51ea-4ba8-fb65de16a718,I.COMM,I.PWTBP,net_10.163.143.0/24 net_10.63.142.0/24,range_10.151.58.101-102 range_10.151.58.155-157,accept,always,TCP/8082-8083 TCP/8090-8093 TCP/8443,enable,all,disable,g-default,certificate-inspection,,enable,,,,
DTH1COMM,12,DSDS_HKATS_0062,7b24d068-cad9-51ea-a5cc-8eab4850f0cf,I.COMM,I.HTBP,net_10.163.143.0/24 net_10.63.142.0/24,range_10.151.54.133-138 range_10.151.54.53-77 range_10.151.54.80-83,accept,always,TCP/12024-12027,enable,all,disable,g-default,certificate-inspection,,,,,,
DTH1COMM,13,DSDS_HKATS_0064,bea0caf4-cad9-51ea-a378-f8d5a4260df6,I.COMM,I.HTBP,net_10.163.143.0/24 net_10.63.142.0/24,host_10.151.54.86,accept,always,TCP/14030 TCP/22,enable,all,disable,g-default,certificate-inspection,,,,,,
DTH1DEV,1,MDS_MIX_0001,1be60944-af2e-51ea-4728-90aa68eb2d28,D.SDN2.2928,I.DEV,net_10.170.53.0/24,net_10.161.5.0/24,accept,always,ALL_ICMP PING,,,disable,,,,,enable,enable,disable,
DTH1DEV,2,MDS_MIX_0001_2,fa11eb84-af2e-51ea-254b-0eadf68b5dae,I.DEV,D.SDN2.2928,net_10.161.5.0/24,net_10.170.53.0/24,accept,always,ALL_ICMP PING,,,disable,,,,,enable,enable,disable,
DTH1DEV,3,temp ping,acfd4864-b2f5-51ea-2b87-8400a1707ac1,any,any,all,all,accept,always,ALL_ICMP,enable,all,disable,sdn3-all,certificate-inspection,,,,,,
DTH1HKATS1,1,LIN_Genium_5001,7c0a061a-8f6a-51ea-b0be-163f00e112c2,I.HKATS,D.CCI,net_10.151.54.0/24 net_10.170.54.0/24,NetGp_BMC_SERVER,accept,always,Port_to_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,2,LIN_Genium_5002,184264d2-8f6b-51ea-dc06-ca10c564b021,D.CCI,I.HKATS,NetGp_BMC_SERVER,net_10.151.54.0/24 net_10.170.54.0/24,accept,always,Port_from_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,3,LIN_Genium_5003,53678326-8f6b-51ea-89ba-5126b6dc36ff,I.HKATS,D.SDN2,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.34.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,15,LIN_Genium_5003_2,e12d81fc-93fc-51ea-e4f3-820797da8306,X.HKATS,D.SDN2,net_10.152.54.0/24 net_10.170.64.0/24 net_10.152.34.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,4,LIN_Genium_5004,f0089f58-8f6b-51ea-d1f0-62a26852b0fd,D.SDN2,I.HKATS,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.52.0/24 net_10.151.34.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,16,LIN_Genium_5004_2,fe66d804-93fc-51ea-5f96-1f85607dd353,D.SDN2,X.HKATS,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.152.54.0/24 net_10.170.64.0/24 net_10.152.52.0/24 net_10.152.34.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,5,LIN_Genium_5005,39087dda-8f6d-51ea-106c-3cbc2b3904a5,D.CCI,I.HKATS,host_10.244.130.6 host_10.248.64.43 net_10.245.127.0/24 net_10.245.132.0/24 net_10.249.127.0/24 net_10.249.132.0/24 host_10.244.64.43,net_10.151.54.0/24 net_10.170.54.0/24,accept,always,TCP/22,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,6,LIN_Genium_5006,9491ce90-8f6d-51ea-5ee1-8f542a6f6093,I.HKATS,D.SDN2,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.34.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,18,LIN_Genium_5006_2,5a41817c-93ff-51ea-d26a-b2dc08540a72,X.HKATS,D.SDN2,net_10.152.54.0/24 net_10.170.64.0/24 net_10.152.34.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,7,LIN_Genium_5007,d7c97c76-8f6d-51ea-80e6-c83bc6d8fa55,D.CCI,I.HKATS,host_10.244.64.88,net_10.151.54.0/24 net_10.170.54.0/24,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,29,LIN_Genium_5020,0877edc4-ac8f-51ea-5a12-a716956f372c,D.CCI,I.HKATS,range_10.244.64.19-20,net_10.151.52.0/24 net_10.170.54.0/24 net_10.151.54.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,,,,,,
DTH1HKATS1,8,LIN_Genium_5008,066deecc-8f6e-51ea-16af-fa47b97129ae,I.HKATS,D.CCI,net_10.151.54.0/24 net_10.170.54.0/24,host_10.244.64.88,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,17,LIN_Genium_5009,ec11167a-9455-51ea-0c4a-07022692a511,I.PTRMW,D.CCI,net_10.151.58.0/24,range_10.244.64.68-70 range_10.248.64.68-70,accept,always,Port_to_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,19,LIN_Genium_5010,33d8e8ac-9456-51ea-07fb-809ed9b18a15,D.CCI,I.PTRMW,range_10.244.64.68-70 range_10.248.64.68-70,net_10.151.58.0/24,accept,always,Port_from_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,20,LIN_Genium_5011,893ff02e-9456-51ea-4828-d13a2d0be0ad,I.PTRMW,D.SDN2,net_10.151.58.0/24,net_10.164.1.0/24 net_10.164.129.0/24,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,21,LIN_Genium_5012,b9001140-9456-51ea-13fa-c9e90cce3103,X.HKATS,D.SDN2,net_10.152.58.0/24,net_10.164.1.0/24 net_10.164.129.0/24,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,22,LIN_Genium_5013,e402ab3c-9456-51ea-b4e7-65bc5b76e519,D.SDN2,I.PTRMW,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.151.58.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,23,LIN_Genium_5014,0832f8d6-9457-51ea-e98b-da21d26cc233,D.SDN2,X.HKATS,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.152.58.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,24,LIN_Genium_5015,395d69aa-9457-51ea-c75f-0bb094927946,D.CCI,I.PTRMW,host_10.244.130.6 host_10.248.64.43 net_10.245.127.0/24 net_10.245.132.0/24 net_10.249.127.0/24 net_10.249.132.0/24 host_10.244.64.43,net_10.151.58.0/24,accept,always,TCP/22,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,25,LIN_Genium_5016,86095c32-9457-51ea-5b36-7780264fb2b4,I.PTRMW,D.SDN2,net_10.151.58.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,26,LIN_Genium_5017,aad55020-9457-51ea-443e-b6551c9bc649,X.HKATS,D.SDN2,net_10.152.58.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,27,LIN_Genium_5018,c2a97582-9457-51ea-3554-f252d4b9a337,D.CCI,I.PTRMW,host_10.244.64.88,net_10.151.58.0/24,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,30,LIN_Genium_5021,4a88dd2c-ac8f-51ea-4c26-a36157201114,D.CCI,I.HKATS,range_10.244.64.19-20,net_10.151.58.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,,,,,,
DTH1HKATS1,28,LIN_Genium_5019,dd904fb0-9457-51ea-0531-ec631abe5d14,I.PTRMW,D.CCI,net_10.151.58.0/24,host_10.244.64.88,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1HKATS1,11,Tester_vlan99_to_vl703,29f710e4-92a2-51ea-b09e-23feee1a1445,D.OTPC,I.HKATS,10.1.1.0/24,net_10.151.54.0/24,accept,always,ALL,,all,,,,,,,,,
DTH1HKATS1,12,Tester_vl703_to_vl99,68fd1752-92a2-51ea-8650-676723074b6c,I.HKATS,D.OTPC,net_10.151.54.0/24,10.1.1.0/24,accept,always,ALL,,all,,,,,,,,,
DTH1HKATS1,99,allow-all-ping,245c181a-9071-51ea-08f6-0506ad18d35d,any,any,all,all,accept,always,ALL_ICMP,enable,all,,sdn3-all,certificate-inspection,,,,,,
DTH1HKATS1,100,allow-all,6c93f44c-8f70-51ea-b150-638b92d16620,any,any,all,all,accept,always,ALL,enable,all,,sdn3-all,certificate-inspection,,,,,,
DTH1TBP,1,LIN_Genium_5001,53ccc0da-967b-51ea-7a01-2e7ee12617bf,I.HTBP,D.CCI,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.34.0/24 net_10.151.52.0/24,NetGp_BMC_SERVER,accept,always,Port_to_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,2,LIN_Genium_5002,5b5fb618-967b-51ea-2482-eda5d45823cd,D.CCI,I.HTBP,NetGp_BMC_SERVER,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.34.0/24 net_10.151.52.0/24,accept,always,Port_from_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,3,LIN_Genium_5003,5b8e104e-967b-51ea-3d4d-3d7a5ba19222,D.SDN2,X.HTBP,NetGp_TIME_SERVER,net_10.152.54.0/24 net_10.170.64.0/24 net_10.152.34.0/24,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,15,LIN_Genium_5003_2,5bb339be-967b-51ea-09d8-ad806c598648,X.HTBP,D.SDN2,net_10.152.54.0/24 net_10.170.64.0/24 net_10.2.153.0/24 net_10.152.34.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,4,LIN_Genium_5004,5bda3474-967b-51ea-bb05-63c0fbf683ad,D.SDN2,I.HTBP,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24 net_10.1.85.0,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.52.0/24 net_10.151.34.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,139,LIN_Genium_5004_2,d4fb97e2-c8aa-51ea-d8cb-c0933764f778,I.HTBP,D.SDN2,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.52.0/24 net_10.151.34.0/24,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24 net_10.1.85.0,accept,always,PORT_HP_ILO,enable,all,disable,,certificate-inspection,,,,,,
DTH1TBP,5,LIN_Genium_5005,5c268090-967b-51ea-fc55-8cbb45373ae0,D.CCI,I.HTBP,host_10.244.130.6 host_10.248.64.43 net_10.245.127.0/24 net_10.245.132.0/24 net_10.249.127.0/24 net_10.249.132.0/24 host_10.244.64.43,net_10.151.54.0/24 net_10.170.54.0/24 net_10.151.34.0/24,accept,always,TCP/22,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,6,LIN_Genium_5006,5c4c9226-967b-51ea-0bc4-435f0ea9244d,D.SDN2,X.HTBP,host_10.164.1.21 host_10.164.129.21 host_10.164.1.26 host_10.164.1.27 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24 net_10.1.85.0,net_10.152.54.0/24 net_10.170.64.0/24 net_10.152.52.0/24 net_10.152.34.0/24 net_10.2.153.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,18,LIN_Genium_5006_2,62160f3e-967b-51ea-53c8-da0a3445d000,X.HTBP,D.SDN2,net_10.152.54.0/24 net_10.170.64.0/24 net_10.152.52.0/24 net_10.152.34.0/24 net_10.2.153.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
DTH1TBP,7,LIN_Genium_5007,623f89f4-967b-51ea-3773-3d942ba14695,I.PWTBP,I.HTBP,net_10.151.58.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,,,,
