vdom,id,gateway,device,dst,status
root,6,10.8.162.254,mgmt1,,
DEH1DEV,1,10.164.206.222,D.SDN2.2928,10.170.63.0 255.255.255.0,
DEH1DEV,2,10.164.206.6,I.DEV.2901,10.162.5.0 255.255.255.0,
DEH1DEV,3,10.151.90.97,I.XDEV.3113,10.161.5.0 255.255.255.0,
DEH1HKATS1,1,10.164.202.150,D.CCI.3803,10.164.202.0 255.255.255.0,
DEH1HKATS1,2,10.151.91.22,I.HKATS.3103,10.152.52.0 255.255.255.0,
DEH1HKATS1,3,10.151.91.22,I.HKATS.3103,10.170.13.0 255.255.255.0,
DEH1HKATS1,4,10.164.202.158,D.SDN2.3804,10.164.202.104 255.255.255.252,
DEH1HKATS1,5,10.164.202.166,D.OTPC.3805,10.1.1.0 255.255.255.0,
DEH1HKATS1,6,10.151.91.22,I.HKATS.3103,10.152.54.0 255.255.255.0,
DEH1HKATS1,7,10.151.91.22,I.HKATS.3103,10.152.5.0 255.255.255.0,
DEH1HKATS1,8,10.151.91.22,I.HKATS.3103,10.170.64.0 255.255.255.0,
DEH1HKATS1,9,10.151.91.22,I.HKATS.3103,10.170.12.0 255.255.255.0,
DEH1HKATS1,10,10.151.91.22,I.HKATS.3103,10.170.63.0 255.255.255.0,
DEH1HKATS1,11,10.151.91.22,I.HKATS.3103,10.152.34.0 255.255.255.0,
DEH1HKATS1,12,10.151.91.22,I.HKATS.3103,10.152.25.0 255.255.255.0,
DEH1HKATS1,13,10.151.91.22,I.HKATS.3103,10.152.12.0 255.255.255.0,
DEH1HKATS1,15,10.151.91.38,I.PTRMW.3105,10.152.13.0 255.255.255.0,
DEH1HKATS1,16,10.151.91.38,I.PTRMW.3105,10.152.19.0 255.255.255.0,
DEH1HKATS1,18,10.151.91.46,I.SMARTS.3106,10.2.150.0 255.255.255.0,
DEH1HKATS1,19,10.151.91.46,I.SMARTS.3106,10.2.152.0 255.255.255.0,
DEH1HKATS1,20,10.151.90.81,I.XHKATS.3111,10.164.129.0 255.255.255.0,
DEH1HKATS1,21,10.151.90.81,I.XHKATS.3111,10.164.1.0 255.255.255.0,
DEH1HKATS1,22,10.164.202.150,D.CCI.3803,10.244.0.0 255.254.0.0,
DEH1HKATS1,23,10.164.202.150,D.CCI.3803,10.248.0.0 255.254.0.0,
DEH1HKATS1,24,10.151.90.81,I.XHKATS.3111,10.151.54.0 255.255.255.0,
DEH1HKATS1,25,10.151.90.81,I.XHKATS.3111,10.170.54.0 255.255.255.0,
DEH1HKATS1,26,10.151.90.81,I.XHKATS.3111,10.151.58.0 255.255.255.0,
DEH1HKATS1,27,10.151.91.38,I.PTRMW.3105,10.152.58.0 255.255.255.0,
DEH1HKATS1,28,10.151.91.46,I.SMARTS.3106,10.2.153.0 255.255.255.0,
DEH1HKATS1,29,10.151.90.81,I.XHKATS.3111,10.1.153.0 255.255.255.0,
DEH1HKATS1,30,10.151.90.81,I.XHKATS.3111,10.151.34.0 255.255.255.0,
DEH1HKATS1,31,10.151.90.81,I.XHKATS.3111,10.151.52.0 255.255.255.0,
DEH1COMM,1,10.164.201.13,I.COMM.3001,10.164.129.0 255.255.255.0,
DEH1COMM,2,10.164.206.94,I.SMARTTBP.2912,10.2.153.0 255.255.255.0,
DEH1COMM,3,10.164.201.3,I.COMM.3001,10.163.143.0 255.255.255.0,
DEH1COMM,4,10.164.206.78,I.HTBP.2910,10.152.34.0 255.255.255.0,
DEH1COMM,5,10.164.206.78,I.HTBP.2910,10.152.52.0 255.255.255.0,
DEH1COMM,6,10.164.206.78,I.HTBP.2910,10.152.54.0 255.255.255.0,
DEH1COMM,7,10.164.206.86,I.PWTBP.2911,10.152.58.0 255.255.255.0,
DEH1COMM,11,10.164.206.78,I.HTBP.2910,10.170.64.0 255.255.255.0,
DEH1COMM,9,10.164.201.3,I.COMM.3001,10.164.1.0 255.255.255.0,
DEH1COMM,10,10.164.201.1,I.COMM.3001,10.170.54.0 255.255.255.0,
DEH1COMM,12,10.164.201.13,I.COMM.3001,10.163.142.0 255.255.255.0,
DEH1COMM,13,10.164.201.3,I.COMM.3001,10.63.142.0 255.255.255.0,
DEH1COMM,14,10.164.201.3,I.COMM.3001,10.164.130.0 255.255.255.0,
DEH1COMM,15,10.164.206.46,I.DEV.2906,10.162.2.0 255.255.255.0,
DEH1COMM,16,10.164.206.46,I.DEV.2906,10.162.4.0 255.255.255.0,
DEH1COMM,17,10.164.206.46,I.DEV.2906,10.170.44.0 255.255.255.0,
DEH1COMM,18,10.164.201.13,I.COMM.3001,10.172.71.0 255.255.255.0,
DEH1COMM,19,10.164.201.13,I.COMM.3001,10.172.72.0 255.255.255.0,
DEH1COMM,20,10.164.201.13,I.COMM.3001,10.172.73.0 255.255.255.0,
DEH1TBP,1,10.164.206.238,D.CCI.2930,10.164.202.0 255.255.255.0,
DEH1TBP,2,10.164.206.38,I.HTBP.2905,10.152.52.0 255.255.255.0,
DEH1TBP,3,10.164.206.38,I.HTBP.2905,10.170.13.0 255.255.255.0,
DEH1TBP,5,10.164.206.254,D.OTPC.2932,10.1.1.0 255.255.255.0,
DEH1TBP,6,10.164.206.38,I.HTBP.2905,10.152.54.0 255.255.255.0,
DEH1TBP,7,10.164.206.38,I.HTBP.2905,10.152.5.0 255.255.255.0,
DEH1TBP,8,10.164.206.38,I.HTBP.2905,10.170.64.0 255.255.255.0,
DEH1TBP,9,10.164.206.38,I.HTBP.2905,10.170.12.0 255.255.255.0,
DEH1TBP,10,10.164.206.38,I.HTBP.2905,10.170.63.0 255.255.255.0,
DEH1TBP,11,10.164.206.38,I.HTBP.2905,10.152.34.0 255.255.255.0,
DEH1TBP,12,10.164.206.38,I.HTBP.2905,10.152.25.0 255.255.255.0,
DEH1TBP,13,10.164.206.38,I.HTBP.2905,10.152.12.0 255.255.255.0,
DEH1TBP,15,10.164.206.54,I.PWTBP.2907,10.152.13.0 255.255.255.0,
DEH1TBP,16,10.164.206.54,I.PWTBP.2907,10.152.19.0 255.255.255.0,
DEH1TBP,18,10.164.206.62,I.SMARTTBP.2908,10.2.150.0 255.255.255.0,
DEH1TBP,19,10.164.206.62,I.SMARTTBP.2908,10.2.152.0 255.255.255.0,
DEH1TBP,20,10.151.90.89,I.XHTBP.3112,10.164.129.0 255.255.255.0,
DEH1TBP,21,10.151.90.89,I.XHTBP.3112,10.164.1.0 255.255.255.0,
DEH1TBP,22,10.164.206.238,D.CCI.2930,10.244.0.0 255.254.0.0,
DEH1TBP,23,10.164.206.238,D.CCI.2930,10.248.0.0 255.254.0.0,
DEH1TBP,24,10.151.90.89,I.XHTBP.3112,10.151.54.0 255.255.255.0,
DEH1TBP,25,10.151.90.89,I.XHTBP.3112,10.170.54.0 255.255.255.0,
DEH1TBP,26,10.151.90.89,I.XHTBP.3112,10.151.58.0 255.255.255.0,
DEH1TBP,27,10.164.206.54,I.PWTBP.2907,10.152.58.0 255.255.255.0,
DEH1TBP,28,10.164.206.62,I.SMARTTBP.2908,10.2.153.0 255.255.255.0,
DEH1TBP,29,10.151.90.89,I.XHTBP.3112,10.1.153.0 255.255.255.0,disable
DEH1TBP,30,10.151.90.89,I.XHTBP.3112,10.151.34.0 255.255.255.0,
DEH1TBP,31,10.151.90.89,I.XHTBP.3112,10.151.52.0 255.255.255.0,disable
DEH1TBP,32,10.151.90.89,I.XHTBP.3112,10.1.85.0 255.255.255.0,
DEH1TBP,33,10.164.206.238,D.CCI.2930,10.193.0.0 255.255.0.0,
DEH1TBP,34,10.164.206.244,D.SDN2.2931,10.161.5.0 255.255.255.0,
DEH1TBP,35,10.151.90.89,I.XHTBP.3112,10.151.13.0 255.255.255.0,
DEH1TBP,36,10.164.206.244,D.SDN2.2931,10.162.5.0 255.255.255.0,
DEH1TBP,37,10.164.206.238,D.CCI.2930,192.168.36.0 255.255.255.0,
DEH1TBP,38,10.151.90.89,I.XHTBP.3112,192.168.80.0 255.255.255.0,
DEH1TBP,39,10.164.206.54,I.PWTBP.2907,10.152.14.0 255.255.255.0,
DEH1TBP,40,10.151.90.89,I.XHTBP.3112,10.151.12.0 255.255.255.0,
DEH1TBP,41,10.151.90.89,I.XHTBP.3112,192.176.4.0 255.255.255.0,
DEH1TBP,42,10.151.90.89,I.XHTBP.3112,10.63.107.0 255.255.255.0,
DEH1TBP,43,10.151.90.89,I.XHTBP.3112,10.63.142.0 255.255.255.0,
DEH1TBP,44,10.151.90.89,I.XHTBP.3112,10.163.143.0 255.255.255.0,
DEH1TBP,45,10.151.90.89,I.XHTBP.3112,10.170.33.0 255.255.255.0,
DEH1TBP,46,10.151.90.89,I.XHTBP.3112,10.170.43.0 255.255.255.0,
DEH1TBP,47,10.164.206.38,I.HTBP.2905,10.152.4.0 255.255.255.0,
DEH1TBP,48,10.151.90.89,I.XHTBP.3112,10.241.51.0 255.255.255.0,
DEH1TBP,49,10.151.90.89,I.XHTBP.3112,10.241.151.0 255.255.255.0,
DEH1TBP,50,10.151.90.89,I.XHTBP.3112,172.24.4.0 255.255.255.0,
DEH1TBP,51,10.151.90.89,I.XHTBP.3112,10.1.150.0 255.255.255.0,
DEH1TBP,52,10.164.206.238,D.CCI.2930,192.168.86.0 255.255.255.0,
DEH1TBP,53,10.164.206.238,D.CCI.2930,192.168.90.0 255.255.255.0,
DEH1TBP,54,10.164.206.238,D.CCI.2930,192.168.70.0 255.255.255.0,
DEH1TBP,55,10.164.206.238,D.CCI.2930,192.168.234.0 255.255.255.0,
DEH1TBP,56,10.164.206.238,D.CCI.2930,192.168.237.0 255.255.255.0,
DEH1TBP,57,10.164.206.254,D.OTPC.2932,10.70.12.0 255.255.255.0,
DEH1TBP,58,10.151.90.89,I.XHTBP.3112,10.204.130.0 255.255.255.0,
DEH1TBP,59,10.151.90.89,I.XHTBP.3112,10.204.131.0 255.255.255.0,
DEH1TBP,60,10.151.90.89,I.XHTBP.3112,10.18.113.0 255.255.255.0,
DEH1TBP,61,10.164.206.254,D.OTPC.2932,10.70.14.0 255.255.255.0,
DEH1TBP,62,10.164.206.254,D.OTPC.2932,10.1.125.0 255.255.255.0,
DEH1TBP,63,10.164.206.254,D.OTPC.2932,10.63.91.0 255.255.255.0,
DEH1TBP,64,10.164.206.254,D.OTPC.2932,10.63.92.0 255.255.255.0,
DEH1TBP,65,10.164.206.254,D.OTPC.2932,10.1.90.0 255.255.255.0,
DEH1TBP,66,10.164.206.254,D.OTPC.2932,10.2.90.0 255.255.255.0,
