vdom,id,name,uuid,srcintf,dstintf,srcaddr,dstaddr,action,schedule,service,utm-status,logtraffic,fsso,ips-sensor,ssl-ssh-profile,comments,logtraffic-start,status
DEH1DEV,1,allow-all-ping,5276c5f2-b2f3-51ea-a621-abbde0a5a2ec,any,any,all,all,accept,always,ALL_ICMP,enable,all,disable,sdn3-all,certificate-inspection,,,
DEH1HKATS1,1,LIN_Genium_5001,2e7bae7e-933b-51ea-d66e-eed903dc0e04,I.HKATS,D.CCI,net_10.152.54.0/24 net_10.170.64.0/24,NetGp_BMC_SERVER,accept,always,Port_to_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,2,LIN_Genium_5002,2ea808d4-933b-51ea-579d-377a354614b1,D.CCI,I.HKATS,NetGp_BMC_SERVER,net_10.152.54.0/24 net_10.170.64.0/24,accept,always,Port_from_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,3,LIN_Genium_5003,2ecf66ea-933b-51ea-2921-6c74f1212284,I.HKATS,D.SDN2,net_10.152.54.0/24 net_10.170.64.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,13,LIN_Genium_5003_2,4734089a-9402-51ea-49fc-1aae61130b1c,X.HKATS,D.SDN2,net_10.151.54.0/24 net_10.170.54.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,4,LIN_Genium_5004,2ef53ece-933b-51ea-2ce5-4de5fc1c3b5b,D.SDN2,I.HKATS,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.152.54.0/24 net_10.170.64.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,14,LIN_Genium_5004_2,5d712b4c-9402-51ea-c165-37b997774e90,D.SDN2,X.HKATS,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.151.54.0/24 net_10.170.54.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,5,LIN_Genium_5005,2f19fdfe-933b-51ea-585c-67514f53b8d8,D.CCI,I.HKATS,host_10.244.130.6 host_10.248.64.43 net_10.245.127.0/24 net_10.245.132.0/24 net_10.249.127.0/24 net_10.249.132.0/24 host_10.244.64.43,net_10.152.54.0/24 net_10.170.64.0/24,accept,always,TCP/22,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,6,LIN_Genium_5006,2f444514-933b-51ea-1381-8c7e5c5072b4,I.HKATS,D.SDN2,net_10.152.54.0/24 net_10.170.64.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,16,LIN_Genium_5006_2,8583bc9e-9402-51ea-333d-fb725cecd40d,X.HKATS,D.SDN2,net_10.151.54.0/24 net_10.170.54.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,7,LIN_Genium_5007,2f6a4c1e-933b-51ea-5367-c299bac41f60,D.CCI,I.HKATS,host_10.244.64.88,net_10.152.54.0/24,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,8,LIN_Genium_5008,2f90ff30-933b-51ea-3212-b3feed997ed3,I.HKATS,D.CCI,net_10.152.54.0/24 net_10.170.64.0/24,host_10.244.64.88,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,15,LIN_Genium_5009,acb9cbf8-94e5-51ea-c57f-84945abd96c7,I.PTRMW,D.CCI,net_10.152.58.0/24,NetGp_BMC_SERVER,accept,always,Port_to_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,17,LIN_Genium_5010,ba2b20e8-94e5-51ea-707d-0799129582c5,D.CCI,I.PTRMW,NetGp_BMC_SERVER,net_10.152.58.0/24,accept,always,Port_from_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,18,LIN_Genium_5011,ba56c6b2-94e5-51ea-e98c-18d38b966d5f,I.PTRMW,D.SDN2,net_10.152.58.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,19,LIN_Genium_5012,ba7d3cfc-94e5-51ea-93a4-8ee85172f23b,X.HKATS,D.SDN2,net_10.151.58.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,20,LIN_Genium_5013,baa27832-94e5-51ea-641f-ac10e4ce2bc7,D.SDN2,I.PTRMW,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.152.58.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,21,LIN_Genium_5014,bac9e868-94e5-51ea-fb30-a119cbefc6e3,D.SDN2,X.HKATS,host_10.164.1.21 host_10.164.1.26 host_10.164.1.27 host_10.164.129.21 host_10.164.130.26 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.151.58.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,22,LIN_Genium_5015,baf003cc-94e5-51ea-a578-b643ac6975a2,D.CCI,I.PTRMW,host_10.244.130.6 host_10.248.64.43 net_10.245.127.0/24 net_10.245.132.0/24 net_10.249.127.0/24 net_10.249.132.0/24 host_10.244.64.43,net_10.152.58.0/24,accept,always,TCP/22,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,23,LIN_Genium_5016,bb156306-94e5-51ea-f88d-c4a9c9a9de46,I.PTRMW,D.SDN2,net_10.152.58.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,24,LIN_Genium_5017,bb3ca524-94e5-51ea-8270-bfa82e1acfe6,X.HKATS,D.SDN2,net_10.151.58.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,TCP/80,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,25,LIN_Genium_5018,bb611a26-94e5-51ea-f0a8-7ed1ca296469,D.CCI,I.PTRMW,host_10.244.64.88,net_10.152.58.0/24,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,26,LIN_Genium_5019,cb390698-94e5-51ea-9ac5-f80a272aec0d,I.PTRMW,D.CCI,net_10.152.58.0/24,host_10.244.64.88,accept,always,Port_SEPM,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,27,WIN_HKATS_5001,4b3fb5bc-94e6-51ea-afea-61d4c3e9efdb,I.SMARTS,D.CCI,net_10.2.153.0/24,host_10.245.79.99,accept,always,PORT_PATCH_MGT TCP/3389,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,28,WIN_HKATS_5002,97d61e8e-94eb-51ea-e49a-c93f9906ace8,D.CCI,I.SMARTS,host_10.245.79.99,net_10.2.153.0/24,accept,always,PORT_PATCH_MGT TCP/3389,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,29,WIN_HKATS_5003,c83b9e0a-94eb-51ea-c194-408467fc2e5e,I.SMARTS,D.CCI,net_10.2.153.0/24,range_10.245.127.83-84,accept,always,TCP/1688,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,30,WIN_HKATS_5004,8682a2d4-9526-51ea-539d-45391532f0d6,I.SMARTS,D.CCI,net_10.2.153.0/24,NetGp_AD,accept,always,PORT_AD_TCP PORT_AD_UDP,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,31,WIN_HKATS_5005,afcbd5ca-9526-51ea-697a-91808cd76269,D.CCI,I.SMARTS,NetGp_AD,net_10.2.153.0/24,accept,always,PORT_AD_TCP PORT_AD_UDP,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,32,WIN_HKATS_5006,e4de29d4-9526-51ea-6cc7-f4195d7cad84,I.SMARTS,D.SDN2,net_10.2.153.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,33,WIN_HKATS_5007,e5099a74-9526-51ea-46f5-63d2a50013fd,D.CCI,I.SMARTS,NetGp_WIN_JUMPNODE,net_10.2.153.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,34,WIN_HKATS_5008,e52f83b0-9526-51ea-ba47-6c1223f047d3,I.SMARTS,D.CCI,net_10.2.153.0/24,NetGp_SCOM,accept,always,PORT_SCOM,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,35,WIN_HKATS_5010,e5555dc4-9526-51ea-d894-ca25f418ebab,I.SMARTS,D.CCI,net_10.2.153.0/24,host_10.245.127.67 host_10.249.127.51,accept,always,PORT_TRENDMICRO,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,36,WIN_HKATS_5011,e57b6aa0-9526-51ea-f9d7-0db89e7fb8d5,D.CCI,I.SMARTS,host_10.245.127.67 host_10.249.127.51,net_10.2.153.0/24,accept,always,PORT_TRENDMICRO,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,37,WIN_HKATS_5012,e5a253d6-9526-51ea-4abe-1d29d13c753c,D.CCI,I.SMARTS,NetGp_CCI_CO_JUMPNODE,net_10.2.153.0/24,accept,always,TCP/3389,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,38,WIN_HKATS_5013,e5c802b6-9526-51ea-4aff-1250fbbc8f72,D.SDN2,I.SMARTS,NetGp_CO_JUMPNODE,net_10.2.153.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,NCR-5136:2020_0512,,
DEH1HKATS1,99,allow-all-ping,43128d9e-933b-51ea-204f-270429d55fbc,any,any,all,all,accept,always,ALL_ICMP,enable,all,,sdn3-all,certificate-inspection,,,
DEH1HKATS1,100,allow-all,433b22f4-933b-51ea-ea43-fed117534d59,any,any,all,all,accept,always,ALL,enable,all,,sdn3-all,certificate-inspection,,,
DEH1HKATS1,51,,d8f1ba12-e104-51ea-a4ae-643859e7c4b2,D.CCI,I.HKATS,range_10.244.64.68-70 range_10.248.64.68-70 IP_10.244.64.174 IP_10.248.64.174,net_10.152.54.0/24,accept,always,Port_from_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1HKATS1,52,,b57949ea-e106-51ea-70d0-f907446b4034,I.HKATS,D.CCI,net_10.152.54.0/24,range_10.244.64.68-70 range_10.248.64.68-70 IP_10.244.64.174 IP_10.248.64.174,accept,always,Port_to_BMC,enable,all,,sdn3-all,certificate-inspection,NCR-5027:2020_0506,,
DEH1COMM,1,comm to smarttbp 20200715_01,5adcb342-c684-51ea-0fe5-08a189fa49ac,I.COMM,I.SMARTTBP,host_10.163.143.210 host_10.63.142.209,net_10.2.153.0/24,accept,always,TCP/139 TCP/22 TCP/3389 TCP/445,enable,all,,sdn3-all,certificate-inspection,NCR-5391:2020_0715,,
DEH1COMM,2,comm to htbp 20200715_02,fc8760d4-c684-51ea-977f-2f614fab848e,I.COMM,I.HTBP,host_10.163.143.210 host_10.63.142.209,net_10.152.34.0/24 net_10.152.52.0/24 net_10.152.54.0/24 net_10.152.58.0/24 net_10.162.2.0/24 net_10.162.4.0/24 net_10.170.44.0/24 net_10.170.64.0/24,accept,always,TCP/139 TCP/22 TCP/3389 TCP/445,enable,all,,sdn3-all,certificate-inspection,NCR-5391:2020_0715,,
DEH1COMM,3,comm to htbp 20200717_01,2fa73070-c806-51ea-5791-a7ba79dfdc4a,I.COMM,I.HTBP,host_10.164.1.40,net_10.170.64.0/24 net_10.170.54.0/24,accept,always,PING TCP/22,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,4,LIN_Genium_5003,0af885fc-ca87-51ea-2824-5dc39da84e3f,I.HTBP,I.COMM,net_10.152.34.0/24 net_10.152.54.0/24 net_10.170.64.0/24 net_10.152.52.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,5,LIN_Genium_5006,caecce72-ca87-51ea-915e-b0f4c35a1c43,I.HTBP,I.COMM,net_10.152.34.0/24 net_10.152.52.0/24 net_10.152.54.0/24 net_10.170.64.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,6,LIN_Genium_5011,e8f33f5a-ca87-51ea-92a3-506b0f04045c,I.PWTBP,I.COMM,net_10.152.58.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,7,LIN_Genium_5016,01f6b27a-ca88-51ea-d718-0d04d6728d69,I.PWTBP,I.COMM,net_10.152.58.0/24,host_10.164.1.21 host_10.164.129.21,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,8,WIN_HKATS_5006,2415a62c-ca88-51ea-c970-7835c7d1ce98,I.SMARTTBP,I.COMM,net_10.2.153.0/24,NetGp_TIME_SERVER,accept,always,UDP/123,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,9,LIN_Genium_5023,8dc8524a-ca88-51ea-a018-1fb946a061c2,I.SMARTTBP,I.COMM,net_10.2.153.0/24,host_10.164.1.21 host_10.164.129.21 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,10,LIN_Genium_5004,cd324d6c-cada-51ea-d1d6-d5569defc875,I.COMM,I.HTBP,host_10.164.1.21 host_10.164.129.21 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.152.34.0/24 net_10.152.52.0/24 net_10.152.54.0/24 net_10.170.64.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,11,LIN_Genium_5013,d67f7066-cada-51ea-e6ab-9ca2febe3e33,I.COMM,I.PWTBP,host_10.164.1.21 host_10.164.129.21 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.152.58.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,Clone of LIN_Genium_5004,,
DEH1COMM,12,LIN_Genium_5022,fda0c30c-cada-51ea-ee77-ba826aecd107,I.COMM,I.SMARTTBP,host_10.164.1.21 host_10.164.129.21 net_10.163.142.0/24 net_10.163.143.0/24 net_10.63.142.0/24,net_10.2.153.0/24,accept,always,PORT_HP_ILO,enable,all,,sdn3-all,certificate-inspection,Clone of LIN_Genium_5013,,
DEH1COMM,13,DSDS_HKATS_0024,99a0d6b6-cadb-51ea-0dab-2fd7c8c312ac,I.COMM,I.HTBP,net_10.163.143.0/24 net_10.164.1.0/24 net_10.164.129.0/24 net_10.63.142.0/24,net_10.152.34.0/24 net_10.152.54.0/24,accept,always,TCP/22,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,14,DSDS_HKATS_0027,a6900112-cadb-51ea-8df2-7b9d7bbd99b6,I.COMM,I.PWTBP,net_10.163.143.0/24 net_10.164.1.0/24 net_10.164.129.0/24 net_10.63.142.0/24,net_10.152.58.0/24,accept,always,TCP/22,enable,all,,sdn3-all,certificate-inspection,Clone of DSDS_HKATS_0024,,
DEH1COMM,15,DSDS_HKATS_0065,278fbc44-cadc-51ea-0bc9-34151a904a7f,I.COMM,I.PWTBP,net_10.163.143.0/24 net_10.63.142.0/24,range_10.152.58.101-102 range_10.152.58.155-157,accept,always,TCP/8082-8083 TCP/8090-8093 TCP/8443,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,16,DSDS_HKATS_0067,96206f46-cadc-51ea-4821-3507f2175827,I.COMM,I.HTBP,net_10.163.143.0/24 net_10.63.142.0/24,host_10.152.54.79 range_10.151.54.82-85 range_10.152.54.43-46 range_10.152.54.59-76,accept,always,TCP/12024-12027,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,17,DSDS_HKATS_0069,d26d4b18-cadc-51ea-2108-f98165ba0333,I.COMM,I.HTBP,net_10.163.143.0/24 net_10.63.142.0/24,host_10.152.54.99,accept,always,TCP/14030 TCP/22,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,18,I.COMM to I.HTBP 20200722_01,0f4ee01c-cd87-51ea-b718-cdc50665ef6f,I.COMM,I.HTBP,host_10.163.143.210 host_10.63.142.209,net_10.152.34.0/24 net_10.152.52.0/24 net_10.152.54.0/24 net_10.152.58.0/24 net_10.162.2.0/24 net_10.162.4.0/24 net_10.170.44.0/24 net_10.170.64.0/24 net_10.172.71.0/24 net_10.172.72.0/24 net_10.172.73.0/24 net_10.2.153.0/24,accept,always,TCP/139 TCP/22 TCP/3389 TCP/445,enable,all,,sdn3-all,certificate-inspection,,,
DEH1COMM,19,allow-any-ping,7f784f68-cdb4-51ea-d0a2-b706e4e52f3f,any,any,all,all,accept,always,ALL_ICMP,enable,all,,sdn3-all,certificate-inspection,Reverse of I.COMM to I.HTBP 20200722_01,,
DEH1COMM,20,MDS_OMD_5007,5ee63e48-db7b-51ea-188f-8ad220b406b0,I.COMM,I.HTBP,IP_10.164.1.40,net_10.170.64.0/24,accept,always,TCP_22 PING,enable,all,,sdn3-all,certificate-inspection,NCR-5312:2020_0811,enable,
